rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
87,JENNIE,250b0Wlc5Vk0CoUsaCY84M,"44,450,005","-14,829","51,284,235"
88,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,"44,284,048","23,075","44,284,048"
89,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,"44,267,542","-10,541","45,494,496"
90,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"44,212,014","-76,701","49,285,295"
91,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"44,021,607","-46,796","65,680,733"
92,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"43,555,327","-79,603","61,154,815"
93,Benson Boone,22wbnEMDvgVIAGdFeek6ET,"43,396,474","-72,529","60,310,612"
94,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,"43,394,678","-129,365","62,424,456"
95,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"43,298,666","-95,705","47,505,466"
96,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"43,154,158","-26,198","48,263,505"
97,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,"42,867,876","-43,401","64,728,517"
98,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,"42,748,296","-94,565","44,105,561"
99,Madonna,6tbjWDEIzxoDsBA1FuhfPW,"42,616,640","95,115","48,192,778"
100,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,"42,502,569","-81,334","51,616,484"
101,KPop Demon Hunters Cast,7mW7Tv7NvywKKXqafZo0Lc,"42,303,201","-135,826","61,126,674"
102,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,"42,266,162","164,418","42,877,228"
103,Hozier,2FXC3k01G6Gw61bmprjgqS,"42,258,709","52,298","57,616,097"
104,Kesha,6LqNN22kT3074XbTVUrhzX,"42,173,328","170,183","51,088,856"
105,The Police,5NGO30tJxFlKixkPSgXcFE,"41,965,619","-104,920","50,538,889"
106,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,"41,683,396","-140,135","48,760,887"
107,Flo Rida,0jnsk9HBra6NMjO2oANoPY,"41,508,097","74,667","41,508,097"
108,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"40,948,035","10,472","58,879,269"
109,JAÅ¸-Z,3nFkdlSjzX9mRTtwJOzDYB,"40,738,319","11,466","40,859,134"
110,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,"40,709,193","121,144","40,709,193"
111,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"40,503,596","18,813","40,825,832"
112,21 Savage,1URnnhqYAYcrqrcwql10ft,"40,179,935","-50,663","66,771,445"
